datetime,open,high,low,close,volume,sma_10,sma_20,sma_50,ema_9,ema_11,ema_14,ema_16,ema_21,ema_50,rsi_14,atr,bbl_20_2.0,bbm_20_2.0,bbu_20_2.0,bbb_20_2.0,bbp_20_2.0,macd_12_26_9,macdh_12_26_9,macds_12_26_9,volume_sma,supert_10_3.0,supertd_10_3.0,supertl_10_3.0,superts_10_3.0,adx_14,dmp_14,dmn_14,stochk_14_3_3,stochd_14_3_3,cci_20_0.015,obv_obv,vwma_20,isa_9,isb_26,its_9,iks_26,ics_26,mfi_14,adosc_3_10,kcle_20_2.0,kcbe_20_2.0,kcue_20_2.0,dcl_20_20,dcm_20_20,dcu_20_20,vwap,regime,volatility_status,days_to_weekly_expiry,is_expiry_day_flag,week_expiry_type,is_expiry_day,expiry_type,week_expiry_date
2025-03-04 10:36:00+05:30,22069.25,22076.05,22065.85,22066.45,0.0,22060.385000000002,22059.4575,,22062.178702579826,22060.791976407258,22057.92011990581,22055.49058634835,22051.121753313524,,59.107615085498324,19.389530350042087,22037.332575706318,22059.4575,22081.582424293683,0.20059354853747288,0.6580231395864438,13.14906367736694,,,0.0,22016.679540323115,1,22016.679540323115,,28.090257483511362,29.98008615897292,18.027882628674927,54.87701441900217,51.35246752657549,84.74598806054321,0.0,,,,22054.65,22038.175,22072.5,,0.0,22011.706827357953,22052.09298737481,22092.479147391667,22013.6,22052.324999999997,22091.05,,trending,normal,1,0,weekly,False,,2025-03-06
2025-03-04 10:39:00+05:30,22066.65,22069.85,22055.15,22056.0,0.0,22061.885000000002,22059.475,,22060.942962063862,22059.993313672716,22057.66410391837,22055.55051736619,22051.56523028502,,54.4319600992277,19.0064692271516,22037.361599085594,22059.475,22081.588400914403,0.2004889138513436,0.42142773485070356,11.864637856688205,,,0.0,22016.679540323115,1,22016.679540323115,,26.51689301391458,28.086053379012174,21.487498116648393,54.02883799830668,53.284327584584936,8.298239986745763,0.0,,,,22062.675000000003,22040.1,22072.1,,0.0,22013.12522475243,22052.465083815303,22091.804942878174,22013.6,22052.324999999997,22091.05,,trending,normal,1,0,weekly,False,,2025-03-06
2025-03-04 10:42:00+05:30,22056.2,22058.65,22048.6,22052.65,0.0,22062.155,22060.0375,,22059.28436965109,22058.769428060597,22056.995556729256,22055.20928002899,22051.663845713654,,52.984972094990056,18.282293053379934,22039.259822675496,22060.0375,22080.8151773245,0.18837390756477448,0.32222507634947956,10.455875315055891,,,0.0,22016.679540323115,1,22016.679540323115,,24.486981699443653,26.83771159758572,23.429239319175807,44.96561249036285,51.29048830255723,-51.736446478816205,0.0,,,,22062.675000000003,22040.1,22059.0,,0.0,22014.97520334744,22052.482694880513,22089.990186413586,22013.6,22052.324999999997,22091.05,,choppy,low,1,0,weekly,False,,2025-03-06
2025-03-04 10:45:00+05:30,22052.9,22076.0,22051.3,22071.8,0.0,22063.34,22061.475,,22061.787495720873,22060.9411900505,22058.96948249869,22057.161129437343,22053.49440519423,,59.59698099680522,18.79635157578986,22041.640623276715,22061.475,22081.309376723282,0.1798100691207967,0.760280424841386,10.760624032409396,,,0.0,22016.679540323115,1,22016.679540323115,,24.033724020676168,31.40646660993875,20.963118987181456,54.884574969368146,51.29300848601256,49.89998947258631,0.0,,,,22062.675000000003,22041.324999999997,22057.65,,0.0,22015.68232683816,22054.322438225227,22092.962549612294,22032.1,22061.574999999997,22091.05,,choppy,normal,1,0,weekly,False,,2025-03-06
2025-03-04 10:48:00+05:30,22072.75,22074.1,22065.05,22072.05,0.0,22063.4,22061.920000000002,,22063.8399965767,22062.792658375416,22060.713551498866,22058.912761268242,22055.181277449297,,59.676708583706606,18.02237997997757,22041.56280471182,22061.920000000002,22082.277195288185,0.18454599860921436,0.7488063767280769,10.896702098340029,,,0.0,22019.070801980622,1,22019.070801980622,,23.63689121936519,30.15407985710953,20.127178642678633,70.89727442090425,56.91582062687842,78.50608603612625,0.0,,,,22062.675000000003,22049.05,22049.85,,0.0,22019.326867139287,22056.010777441872,22092.694687744457,22032.1,22061.574999999997,22091.05,,choppy,low,1,0,weekly,False,,2025-03-06
2025-03-04 10:51:00+05:30,22071.95,22080.0,22066.55,22074.35,0.0,22063.6,22062.94,,22065.94199726136,22064.718881979516,22062.53174463235,22060.72890700139,22056.92388859027,,60.44994867592929,17.662156412960105,22042.24095171267,22062.94,22083.63904828733,0.18763635569266643,0.775616536606277,11.062612809844723,,,0.0,22023.822327856426,1,22023.822327856426,,23.686752091135418,30.976724089393592,18.919667166455955,88.27071056817722,71.3508533194832,96.38898035342523,0.0,,,,22064.075,22051.8,22060.7,,0.0,22022.00526074507,22057.757370066454,22093.509479387838,22032.1,22061.574999999997,22091.05,,choppy,low,1,0,weekly,False,,2025-03-06
2025-03-04 10:54:00+05:30,22074.7,22080.4,22071.65,22076.8,0.0,22065.65,22063.575,,22068.11359780909,22066.732401649595,22064.43417868137,22062.619623824754,22058.730807809337,,61.3012403132349,16.965160037809017,22042.011407998638,22063.575,22085.138592001364,0.19546779704887216,0.8066511367670727,11.261971768315561,-0.5725806410450289,11.83455240936059,0.0,22028.966585174312,1,22028.966585174312,,23.757764417942884,29.911627867932815,18.15651471483539,88.54091115601682,82.5696320483661,104.51725997846287,0.0,,,,22064.275,22052.324999999997,22058.0,,0.0,22025.55714067411,22059.57095386965,22093.58476706519,22032.1,22061.574999999997,22091.05,,choppy,low,1,0,weekly,False,,2025-03-06
2025-03-04 10:57:00+05:30,22077.55,22089.4,22073.1,22082.3,0.0,22067.93,22064.760000000002,,22070.950878247273,22069.327001374662,22066.816288190523,22064.934962198313,22060.873461644853,,63.215401996345484,16.913489878024887,22041.857017661423,22064.760000000002,22087.66298233858,0.20759783780633934,0.8829195635026953,11.72856956463147,-0.084786275783296,11.813355840414767,0.0,22034.00215815366,1,22034.00215815366,,24.402476626071365,31.805897059732768,16.797261033967896,86.60989366402286,87.8071717960723,129.89422780579784,0.0,,,,22069.0,22052.324999999997,22060.05,,0.0,22027.85646060991,22061.735624929683,22095.614789249455,22032.1,22061.574999999997,22091.05,,choppy,low,1,0,weekly,False,,2025-03-06
2025-03-04 11:00:00+05:30,22082.65,22083.55,22072.4,22082.05,0.0,22070.385000000002,22064.504999999997,,22073.170702597818,22071.44750114555,22068.84744976512,22066.948496057335,22062.79860149532,,63.06271002397291,16.468559214344328,22042.50925268373,22064.504999999997,22086.500747316266,0.19937675752316708,0.8988270947953931,11.940535706307855,0.10174389271447026,11.838791813593385,0.0,22034.00215815366,1,22034.00215815366,,24.895613614456146,30.143504014280612,16.247454134156204,84.6023020906684,86.58436897023603,111.33726525987136,0.0,,,,22069.0,22052.324999999997,22073.15,,0.0,22030.893940551825,22063.670327317333,22096.446714082842,22032.1,22060.75,22089.4,,choppy,low,1,0,weekly,False,,2025-03-06
2025-03-04 11:03:00+05:30,22082.35,22095.9,22081.65,22093.4,0.0,22072.785,22065.8625,,22077.216562078254,22075.10625095463,22072.12112312977,22070.060437697648,22065.580546813926,,66.96410495164612,16.298273059535756,22040.508666463407,22065.8625,22091.21633353659,0.22980142776283494,1.0430638321470915,12.875944669660385,0.8297222848535988,12.046222384806786,0.0,22043.25773523643,1,22043.25773523643,,26.06176080726911,33.93672411166087,15.15710167224691,86.57803162514851,85.93007579327993,173.4512862568601,0.0,,,,22072.25,22064.0,22067.2,,0.0,22034.13261288022,22066.501724715683,22098.870836551145,22032.1,22064.0,22095.9,,trending,normal,1,0,weekly,False,,2025-03-06
2025-03-04 11:06:00+05:30,22093.65,22104.25,22083.35,22086.5,0.0,22074.79,22067.5875,,22079.073249662604,22077.005209128856,22074.038306712468,22071.994503850867,22067.482315285386,,62.63302513740318,16.649608478400456,22041.5555604833,22067.5875,22093.619439516704,0.2359291836201175,0.8632556841925657,12.911653177474363,0.6923446341340611,12.219308543340302,0.0,22046.528901757574,1,22046.528901757574,,27.530867665582466,34.513238240588045,13.70445660404091,81.76876246293968,84.31636539291885,158.2871739568433,0.0,,,,22076.425,22068.175,22069.65,,0.0,22035.13903070115,22068.406322361807,22101.673614022464,22032.1,22068.175,22104.25,,trending,normal,1,0,weekly,False,,2025-03-06
2025-03-04 11:09:00+05:30,22085.8,22086.1,22077.85,22084.85,0.0,22077.675,22069.78,,22080.228599730086,22078.312674274046,22075.479865817473,22073.50691516253,22069.061195713988,,61.60689376045646,16.041839794751105,22045.766391358204,22069.78,22093.793608641794,0.2176152969517154,0.813780411449088,12.660864650231815,0.35324488551320954,12.307619764718606,0.0,22046.528901757574,1,22046.528901757574,,28.207815960384348,33.099343013357085,15.747851846255545,76.18112134588739,81.50930514465853,95.48802946590735,0.0,,,,22077.775,22068.175,22068.65,,0.0,22038.225789681994,22069.97238689878,22101.718984115563,22032.1,22068.175,22104.25,,trending,normal,1,0,weekly,False,,2025-03-06
