strategy,total_pnl,trades,avg_pnl
BB_MeanReversion,-68.24999999998181,86,-0.7936046511625792
MA_Crossover,1224.2499999999782,756,1.619378306878278
RSI_MeanReversion,777.4999999999964,235,3.308510638297857
RSI_Slope_Momentum,-56.75000000001455,68,-0.8345588235296257
