datetime,open,high,low,close,volume
2025-04-30 12:41:00+05:30,24355.1,24360.8,24354.85,24358.0,0
2025-04-30 12:42:00+05:30,24357.65,24359.65,24353.8,24354.4,0
2025-04-30 12:43:00+05:30,24354.45,24359.4,24353.0,24355.95,0
2025-04-30 12:44:00+05:30,24355.85,24360.9,24355.15,24356.5,0
2025-04-30 12:45:00+05:30,24357.1,24360.1,24351.45,24352.65,0
2025-04-30 12:46:00+05:30,24351.35,24357.15,24350.15,24353.9,0
2025-04-30 12:47:00+05:30,24353.55,24357.1,24351.55,24353.8,0
2025-04-30 12:48:00+05:30,24352.8,24356.25,24350.6,24351.1,0
2025-04-30 12:49:00+05:30,24350.95,24355.45,24349.6,24351.05,0
2025-04-30 12:50:00+05:30,24351.45,24358.3,24351.4,24355.9,0
2025-04-30 12:51:00+05:30,24357.05,24359.6,24351.95,24352.3,0
2025-04-30 12:52:00+05:30,24352.95,24358.2,24349.95,24355.25,0
2025-04-30 12:53:00+05:30,24354.8,24357.5,24350.35,24353.95,0
2025-04-30 12:54:00+05:30,24353.65,24359.2,24352.7,24354.75,0
2025-04-30 12:55:00+05:30,24354.55,24358.95,24352.9,24354.05,0
2025-04-30 12:56:00+05:30,24353.45,24356.2,24350.9,24352.4,0
2025-04-30 12:57:00+05:30,24352.1,24354.25,24346.7,24346.75,0
2025-04-30 12:58:00+05:30,24346.95,24348.7,24341.05,24341.35,0
2025-04-30 12:59:00+05:30,24341.7,24344.3,24339.7,24340.2,0
2025-04-30 13:00:00+05:30,24339.85,24342.4,24332.75,24333.15,0
2025-04-30 13:01:00+05:30,24332.7,24336.75,24332.25,24333.25,0
2025-04-30 13:02:00+05:30,24332.8,24336.95,24332.55,24335.25,0
2025-04-30 13:03:00+05:30,24334.45,24337.75,24334.15,24335.0,0
2025-04-30 13:04:00+05:30,24335.1,24336.05,24328.8,24333.25,0
2025-04-30 13:05:00+05:30,24332.8,24334.25,24329.55,24330.8,0
2025-04-30 13:06:00+05:30,24330.55,24332.2,24326.7,24329.4,0
2025-04-30 13:07:00+05:30,24329.25,24334.05,24328.85,24332.8,0
2025-04-30 13:08:00+05:30,24331.95,24338.5,24331.4,24334.25,0
2025-04-30 13:09:00+05:30,24334.35,24336.9,24332.95,24335.4,0
2025-04-30 13:10:00+05:30,24334.65,24338.35,24334.3,24334.3,0
2025-04-30 13:11:00+05:30,24334.0,24335.2,24330.55,24334.5,0
2025-04-30 13:12:00+05:30,24333.45,24336.2,24330.7,24331.3,0
2025-04-30 13:13:00+05:30,24331.0,24337.3,24330.6,24336.65,0
2025-04-30 13:14:00+05:30,24335.65,24337.05,24332.6,24333.8,0
2025-04-30 13:15:00+05:30,24333.75,24336.15,24332.75,24335.05,0
2025-04-30 13:16:00+05:30,24334.85,24338.65,24333.8,24335.95,0
2025-04-30 13:17:00+05:30,24335.35,24338.45,24332.5,24334.2,0
2025-04-30 13:18:00+05:30,24333.8,24336.0,24328.9,24329.3,0
2025-04-30 13:19:00+05:30,24330.2,24332.35,24327.45,24331.9,0
2025-04-30 13:20:00+05:30,24331.85,24337.15,24330.2,24334.0,0
2025-04-30 13:21:00+05:30,24333.75,24339.05,24333.0,24335.1,0
2025-04-30 13:22:00+05:30,24336.1,24337.85,24332.5,24333.65,0
2025-04-30 13:23:00+05:30,24333.15,24335.85,24330.95,24331.9,0
2025-04-30 13:24:00+05:30,24330.85,24335.85,24330.85,24333.15,0
2025-04-30 13:25:00+05:30,24333.05,24339.9,24333.0,24335.2,0
2025-04-30 13:26:00+05:30,24334.6,24341.5,24334.6,24339.35,0
2025-04-30 13:27:00+05:30,24339.15,24343.1,24336.25,24336.5,0
2025-04-30 13:28:00+05:30,24336.8,24339.05,24329.6,24331.9,0
2025-04-30 13:29:00+05:30,24330.8,24335.65,24329.6,24332.7,0
2025-04-30 13:30:00+05:30,24333.25,24337.7,24332.5,24337.7,0
2025-04-30 13:31:00+05:30,24337.55,24341.25,24335.35,24335.7,0
2025-04-30 13:32:00+05:30,24335.8,24341.05,24335.8,24338.35,0
2025-04-30 13:33:00+05:30,24338.65,24341.1,24334.75,24336.9,0
2025-04-30 13:34:00+05:30,24337.1,24343.05,24336.95,24338.4,0
2025-04-30 13:35:00+05:30,24338.6,24342.05,24337.15,24338.5,0
2025-04-30 13:36:00+05:30,24338.85,24341.35,24336.6,24339.85,0
2025-04-30 13:37:00+05:30,24340.05,24348.15,24339.35,24346.35,0
2025-04-30 13:38:00+05:30,24345.1,24349.85,24344.0,24344.5,0
2025-04-30 13:39:00+05:30,24344.75,24349.65,24344.75,24346.65,0
2025-04-30 13:40:00+05:30,24346.2,24350.2,24344.25,24348.3,0
2025-04-30 13:41:00+05:30,24349.1,24349.55,24344.3,24345.7,0
2025-04-30 13:42:00+05:30,24345.1,24348.95,24344.9,24347.7,0
2025-04-30 13:43:00+05:30,24346.1,24350.0,24344.95,24348.4,0
2025-04-30 13:44:00+05:30,24348.35,24350.8,24346.05,24349.5,0
2025-04-30 13:45:00+05:30,24348.8,24351.7,24345.9,24348.05,0
2025-04-30 13:46:00+05:30,24347.7,24353.25,24347.4,24351.3,0
2025-04-30 13:47:00+05:30,24351.1,24352.35,24345.5,24348.05,0
2025-04-30 13:48:00+05:30,24348.35,24351.3,24346.15,24347.85,0
2025-04-30 13:49:00+05:30,24348.2,24350.15,24344.95,24346.6,0
2025-04-30 13:50:00+05:30,24346.7,24349.85,24345.4,24347.85,0
2025-04-30 13:51:00+05:30,24348.1,24351.85,24346.15,24347.7,0
2025-04-30 13:52:00+05:30,24346.55,24349.95,24345.0,24346.05,0
2025-04-30 13:53:00+05:30,24345.9,24347.7,24338.35,24339.45,0
2025-04-30 13:54:00+05:30,24339.05,24342.1,24336.65,24336.65,0
2025-04-30 13:55:00+05:30,24336.85,24339.45,24334.55,24336.8,0
2025-04-30 13:56:00+05:30,24336.1,24340.85,24336.1,24339.25,0
