time,open,high,low,close,volume
2025-04-30 18:35:00,94144.18,94161.72,94076.81,94076.81,37.32903
2025-04-30 18:40:00,94076.81,94096.46,94009.12,94074.04,40.68887
2025-04-30 18:45:00,94074.04,94180.0,94037.59,94167.7,20.97938
2025-04-30 18:50:00,94167.7,94178.63,94130.0,94130.01,15.88845
2025-04-30 18:55:00,94130.01,94172.19,94055.53,94078.24,33.5563
2025-04-30 19:00:00,94078.24,94168.96,94078.23,94111.32,17.42138
2025-04-30 19:05:00,94111.32,94167.49,94030.0,94073.53,21.7706
2025-04-30 19:10:00,94073.53,94113.19,94050.33,94101.5,22.26122
2025-04-30 19:15:00,94101.5,94110.0,93947.57,93954.42,45.73373
2025-04-30 19:20:00,93954.42,94009.01,93864.08,93875.99,27.2266
2025-04-30 19:25:00,93875.99,93875.99,93757.63,93797.9,35.23419
2025-04-30 19:30:00,93797.9,93869.57,93774.42,93821.39,46.59218
2025-04-30 19:35:00,93821.39,93951.85,93814.19,93869.56,26.08119
2025-04-30 19:40:00,93869.56,93955.48,93869.56,93946.58,16.40128
2025-04-30 19:45:00,93946.58,94060.0,93946.58,94041.31,18.69431
2025-04-30 19:50:00,94041.31,94081.27,94039.17,94058.65,31.17304
2025-04-30 19:55:00,94058.65,94266.36,94039.07,94152.01,123.5144
2025-04-30 20:00:00,94152.01,94314.5,94109.46,94288.13,182.52419
2025-04-30 20:05:00,94288.13,94450.39,94240.0,94424.43,113.29083
2025-04-30 20:10:00,94424.43,94680.0,94424.43,94638.6,200.82834
2025-04-30 20:15:00,94638.6,94649.0,94502.86,94502.86,111.34252
2025-04-30 20:20:00,94502.86,94642.4,94484.0,94605.01,46.37803
2025-04-30 20:25:00,94605.01,94739.14,94591.23,94707.33,59.2443
2025-04-30 20:30:00,94707.33,94726.77,94604.57,94666.96,39.81238
2025-04-30 20:35:00,94666.96,94685.38,94534.95,94534.95,31.90227
2025-04-30 20:40:00,94534.95,94599.99,94521.73,94599.98,20.88821
2025-04-30 20:45:00,94599.98,94619.05,94565.25,94579.0,15.16774
2025-04-30 20:50:00,94579.0,94700.0,94571.99,94650.0,42.78635
2025-04-30 20:55:00,94650.0,94673.76,94540.0,94555.99,32.60032
2025-04-30 21:00:00,94555.99,94700.0,94555.99,94617.89,34.73325
2025-04-30 21:05:00,94617.89,94784.1,94545.97,94558.0,82.2139
2025-04-30 21:10:00,94558.0,94565.23,94481.48,94565.23,28.76172
2025-04-30 21:15:00,94565.23,94660.0,94565.22,94659.99,14.73826
2025-04-30 21:20:00,94659.99,94684.45,94659.99,94668.0,16.90369
2025-04-30 21:25:00,94668.0,94668.01,94622.06,94622.07,8.26352
2025-04-30 21:30:00,94622.07,94636.0,94523.82,94523.82,20.87642
2025-04-30 21:35:00,94523.82,94559.68,94521.73,94540.02,13.11592
2025-04-30 21:40:00,94540.02,94573.77,94482.8,94482.81,27.91693
2025-04-30 21:45:00,94482.81,94552.41,94464.89,94507.02,21.95879
2025-04-30 21:50:00,94507.02,94559.95,94415.22,94421.35,23.9044
2025-04-30 21:55:00,94421.35,94473.51,94382.35,94419.0,36.77804
