date,open,high,low,close,volume,ema_3,ema_5,ema_8,ema_9,ema_13,ema_20,ema_21,ema_34,ema_50,ema_200,sma_20,rsi_10,rsi_14,macd_12_26_9,macds_12_26_9,bb_middle,bb_upper,bb_lower,bb_width,atr_14,stoch_k_14,stoch_d_14,stoch_k,stoch_d,adx_14,supertrend_10_3.0,supertrend_10_2.0,roc_5,vwap,is_expiry_day,volume_avg,body,hl_range,boll_dist,recent_range,volatility_20,rsi,atr,avg_volume,bollinger_hband,bollinger_lband
2025-04-30 14:06:00+05:30,24340.6,24346.1,24337.6,24338.6,1,24340.904757690427,24341.87390959465,24342.402919220902,24342.452275947842,24342.38279583929,24341.97399233782,24341.914367996313,24341.283627863195,24340.809463893012,24339.781257637806,,40.66455696202258,49.25074925074918,0.7858078665994981,1.0949134013905018,,,,,9.024999999999377,38.05496828752408,,38.05496828752408,,,24368.924999999996,24359.899999999998,-0.0034922728327968907,24342.863333333335,False,,2.0,8.5,,0.0006984789593485247,,49.25074925074918,9.024999999999377,,,
2025-04-30 14:09:00+05:30,24338.75,24341.75,24335.55,24337.0,1,24338.952378845213,24340.249273063102,24341.202270505146,24341.361820758277,24341.613825005108,24341.500278781838,24341.467607269373,24341.038849128156,24340.66007315211,24339.753583432455,,36.40624999999732,54.77777777777736,0.2948649052341352,0.9349037021592285,,,,,8.503571428570856,21.686746987951807,36.89769649422441,21.686746987951807,36.89769649422441,,24364.160714285714,24355.657142857144,-0.00924432757788346,24342.565625,False,,1.75,6.200000000000728,,0.0006574351810001233,,54.77777777777736,8.503571428570856,,,
2025-04-30 14:12:00+05:30,24336.45,24342.75,24335.6,24340.65,1,24339.801189422607,24340.382848708738,24341.079543726224,24341.21945660662,24341.476135718665,24341.419299850233,24341.393279335793,24341.016629177975,24340.65967812654,24339.762503000293,,36.106750392466324,52.674418604654555,0.19803079128541867,0.7875291199844665,,,,,8.389285714285247,32.62032085562538,30.787345377033756,32.62032085562538,30.787345377033756,,24364.342857142856,24355.95357142857,-0.026491861453713544,24342.395098039215,False,,4.200000000000728,7.150000000001455,,0.0006573365953661878,,52.674418604654555,8.389285714285247,,,
2025-04-30 14:15:00+05:30,24340.0,24343.1,24337.2,24339.05,1,24339.425594711305,24339.938565805827,24340.628534009284,24340.7855652853,24341.129544901716,24341.19365224545,24341.180253941628,24340.904250367803,24340.596553494128,24339.755413418203,,35.9375,50.61867266591593,-0.007728480799414683,0.6284775998276904,,,,,8.217857142856571,24.064171122993717,26.1237463221903,24.064171122993717,26.1237463221903,,24364.803571428572,24356.585714285713,-0.0256723063589276,24342.25,False,,0.9500000000007276,5.899999999997817,,0.0005936961385099554,,50.61867266591593,8.217857142856571,,,
2025-04-30 14:18:00+05:30,24339.95,24342.25,24335.95,24338.2,1,24338.812797355655,24339.359043870554,24340.088859785,24340.26845222824,24340.711038487185,24340.908542507786,24340.909321765113,24340.749721775355,24340.502571004163,24339.739936667775,,35.22205206738367,41.984732824428264,-0.2366540816547058,0.4554512635312112,,,,,7.721428571427948,19.518716577547128,25.40106951872208,19.518716577547128,25.40106951872208,,24362.264285714282,24354.542857142853,-0.01417323805083356,24342.06842105263,False,,1.75,6.299999999999272,,0.00043347494884581734,,41.984732824428264,7.721428571427948,,,
2025-04-30 14:21:00+05:30,24338.45,24341.05,24336.45,24337.4,1,24338.106398677828,24338.706029247038,24339.49133538833,24339.694761782594,24340.23803298902,24340.57439560228,24340.590292513738,24340.55830910248,24340.38090155302,24339.71665371586,24341.4075,45.90818363273586,39.3316195372754,-0.47713249734806595,0.2689345113553558,24341.4075,24350.50175932287,24332.313240677133,18.18851864573662,7.62499999999922,15.240641711241027,19.607843137260623,15.240641711241027,19.607843137260623,,24361.624999999996,24354.0,-0.004930439713036451,24341.879999999997,False,1.0,1.0499999999992724,4.599999999998545,-0.00016463715173412668,0.0003102221272608936,,39.3316195372754,7.62499999999922,1.0,24350.50175932287,24332.313240677133
2025-04-30 14:24:00+05:30,24338.15,24339.8,24333.9,24335.6,1,24336.85319933891,24337.670686164693,24338.626594190922,24338.875809426077,24339.57545684773,24340.10064364016,24340.136629557943,24340.274977153764,24340.193415217607,24339.675691987344,24341.22,43.151969981235915,31.16531165311531,-0.8036938487057341,0.0544088393431378,24341.22,24350.64161009818,24331.79838990182,18.843220196358743,7.62499999999922,8.785529715747893,14.514962668178683,8.785529715747893,14.514962668178683,,24359.724999999995,24352.1,-0.0057525578337570575,24341.84,False,1.0,2.5500000000029104,5.899999999997817,-0.0002308840723678854,0.0003780469764459101,0.002636927664636538,31.16531165311531,7.62499999999922,1.0,24350.64161009818,24331.79838990182
2025-04-30 14:27:00+05:30,24335.9,24338.1,24331.4,24336.8,1,24336.826599669454,24337.38045744313,24338.220684370717,24338.460647540862,24339.178963012342,24339.78629662681,24339.83329959813,24340.07640703069,24340.060340111035,24339.647078136724,24341.425,24.250000000006494,34.65211459754495,-0.9546613593302027,-0.14740520039153032,24341.425,24350.223893471102,24332.626106528896,17.597786942205857,7.549999999999012,26.40586797065323,16.81067979921405,26.40586797065323,16.81067979921405,,24357.399999999998,24349.85,-0.01581716182600786,24341.855000000003,False,1.0,0.8999999999978172,6.69999999999709,-0.0001900053098781193,0.0004807534269089235,0.0024479313690353977,34.65211459754495,7.549999999999012,1.0,24350.223893471102,24332.626106528896
2025-04-30 14:30:00+05:30,24336.05,24339.3,24332.6,24334.35,1,24335.588299834726,24336.37030496209,24337.360532288334,24337.63851803269,24338.489111153438,24339.268554090922,24339.33481781648,24339.749183771793,24339.83640520472,24339.594370891584,24341.225,23.486682808721483,32.647814910026355,-1.2575030117041024,-0.3694247626540448,24341.225,24350.487800531384,24331.962199468613,18.525601062770875,7.574999999999169,14.425427872848458,16.538941853083195,14.425427872848458,16.538941853083195,,24358.674999999996,24351.099999999995,-0.01931053184081025,24341.7575,False,1.0,1.7000000000007276,6.700000000000728,-0.0002824426461692047,0.00044587178206931954,0.0023265199140883428,32.647814910026355,7.574999999999169,1.0,24350.487800531384,24331.962199468613
2025-04-30 14:33:00+05:30,24333.7,24335.3,24324.15,24331.85,1,24333.719149917364,24334.863536641395,24336.135969557592,24336.480814426155,24337.54066670295,24338.562025129882,24338.654379833166,24339.297801841974,24339.523212843753,24339.517312474753,24340.892499999998,24.871794871796794,38.48484848484645,-1.679871793345228,-0.6315141687922815,24340.892499999998,24351.005559560992,24330.779440439004,20.226119121987722,7.40714285714187,28.102189781013514,22.977828541505072,28.102189781013514,22.977828541505072,,24351.946428571424,24344.539285714283,-0.026090672276512572,24341.340833333332,False,1.0,1.8500000000021828,11.149999999997817,-0.0003714941841183335,0.0006945628877375875,0.0023495964936905093,38.48484848484645,7.40714285714187,1.0,24351.005559560992,24330.779440439004
