time,open,high,low,close,volume
2025-04-30 18:45:00,94074.04,94180.0,94037.59,94078.24,70.42413
2025-04-30 19:00:00,94078.24,94168.96,94030.0,94101.5,61.4532
2025-04-30 19:15:00,94101.5,94110.0,93757.63,93797.9,108.19452
2025-04-30 19:30:00,93797.9,93955.48,93774.42,93946.58,89.07465
2025-04-30 19:45:00,93946.58,94266.36,93946.58,94152.01,173.38175
2025-04-30 20:00:00,94152.01,94680.0,94109.46,94638.6,496.64336
2025-04-30 20:15:00,94638.6,94739.14,94484.0,94707.33,216.96485
2025-04-30 20:30:00,94707.33,94726.77,94521.73,94599.98,92.60286
2025-04-30 20:45:00,94599.98,94700.0,94540.0,94555.99,90.55441
2025-04-30 21:00:00,94555.99,94784.1,94481.48,94565.23,145.70887
2025-04-30 21:15:00,94565.23,94684.45,94565.22,94622.07,39.90547
2025-04-30 21:30:00,94622.07,94636.0,94482.8,94482.81,61.90927
2025-04-30 21:45:00,94482.81,94559.95,94382.35,94419.0,82.64123
2025-04-30 22:00:00,94419.0,94720.0,94418.99,94584.66,97.83192
2025-04-30 22:15:00,94584.66,94584.67,94360.0,94360.0,63.58719
2025-04-30 22:30:00,94360.0,94403.94,94224.75,94268.23,141.87358
2025-04-30 22:45:00,94268.23,94268.23,94059.69,94114.05,208.77315
2025-04-30 23:00:00,94114.05,94285.72,94005.0,94281.71,180.7175
2025-04-30 23:15:00,94281.71,94333.34,94160.54,94257.74,59.75606
2025-04-30 23:30:00,94257.74,94333.34,94173.94,94173.95,61.94776
2025-04-30 23:45:00,94173.95,94283.04,94142.85,94172.0,53.24797
2025-05-01 00:00:00,94172.0,94347.83,94130.43,94269.04,120.12412
2025-05-01 00:15:00,94269.04,94333.34,94186.79,94290.15,68.80927
2025-05-01 00:30:00,94290.15,94300.0,94217.39,94287.13,48.86758
2025-05-01 00:45:00,94287.13,94405.47,94287.12,94405.47,88.44703
2025-05-01 01:00:00,94405.47,94599.99,94398.51,94532.51,109.86491
2025-05-01 01:15:00,94532.51,94700.0,94521.2,94633.37,170.60487
2025-05-01 01:30:00,94633.37,94710.0,94485.97,94710.0,137.63025
2025-05-01 01:45:00,94710.0,94709.99,94576.05,94636.51,84.0263
2025-05-01 02:00:00,94636.51,94826.04,94620.0,94701.0,138.77031
2025-05-01 02:15:00,94701.0,94950.0,94701.0,94928.33,213.91399
2025-05-01 02:30:00,94928.33,94972.5,94827.69,94898.4,184.09708
2025-05-01 02:45:00,94898.4,94920.99,94755.76,94867.46,354.6444
2025-05-01 03:00:00,94867.46,95040.3,94705.79,94718.22,577.58872
2025-05-01 03:15:00,94718.22,94815.14,94688.75,94815.13,74.42732
2025-05-01 03:30:00,94815.13,94935.15,94720.0,94849.32,429.09118
